Time,Node,S,E,I,R
40,9,7706.0,0.0,0.0,127415.18
40,10,2907.0,0.0,0.0,56343.715
40,11,5256.0,0.0,0.0,98076.78
40,12,5882.0,0.0,0.0,111544.67
40,13,6622.0,0.0,0.0,123849.34
41,0,615.0,16.0,149.0,26328.678
41,1,789.0,0.0,0.0,32541.672
41,2,1373.0,0.0,0.0,37115.03
41,3,3005.0,0.0,0.0,54588.582
41,4,4132.0,0.0,0.0,77873.06
41,5,3276.0,0.0,0.0,50742.31
41,6,7863.0,0.0,0.0,141439.56
41,7,6843.0,0.0,0.0,121628.94
41,8,5495.0,0.0,0.0,89753.516
41,9,7706.0,0.0,0.0,127410.64
41,10,2907.0,0.0,0.0,56341.71
41,11,5256.0,0.0,0.0,98073.31
41,12,5882.0,0.0,0.0,111540.72
41,13,6622.0,0.0,0.0,123844.96
42,0,611.0,14.0,151.0,26331.48
42,1,790.0,0.0,0.0,32538.965
42,2,1323.0,0.0,0.0,36751.305
42,3,3017.0,0.0,0.0,54585.26
42,4,4150.0,0.0,0.0,77868.336
42,5,3288.0,0.0,0.0,50739.203
42,6,7917.0,0.0,0.0,141432.77
42,7,6895.0,0.0,0.0,121622.66
42,8,5534.0,0.0,0.0,89748.31
42,9,7761.0,0.0,0.0,127405.11
42,10,2931.0,0.0,0.0,56339.707
42,11,5298.0,0.0,0.0,98069.836
42,12,5930.0,0.0,0.0,111534.77
42,13,6675.0,0.0,0.0,123837.58
43,0,608.0,11.0,155.0,26331.281
43,1,790.0,0.0,0.0,32536.254
43,2,1323.0,0.0,0.0,36748.58
43,3,3017.0,0.0,0.0,54581.94
43,4,4150.0,0.0,0.0,77863.625
43,5,3288.0,0.0,0.0,50736.094
43,6,7917.0,0.0,0.0,141426.97
43,7,6895.0,0.0,0.0,121618.375
43,8,5534.0,0.0,0.0,89745.11
43,9,7761.0,0.0,0.0,127400.56
43,10,2931.0,0.0,0.0,56337.707
43,11,5298.0,0.0,0.0,98066.36
43,12,5930.0,0.0,0.0,111530.83
43,13,6675.0,0.0,0.0,123833.195
44,0,603.0,13.0,150.0,26337.082
44,1,790.0,0.0,0.0,32533.543
44,2,1323.0,0.0,0.0,36745.855
44,3,3017.0,0.0,0.0,54578.62
44,4,4150.0,0.0,0.0,77858.9
44,5,3288.0,0.0,0.0,50732.984
44,6,7917.0,0.0,0.0,141421.16
44,7,6895.0,0.0,0.0,121614.086
44,8,5534.0,0.0,0.0,89741.914
44,9,7761.0,0.0,0.0,127396.03
44,10,2931.0,0.0,0.0,56335.703
44,11,5298.0,0.0,0.0,98062.89
44,12,5930.0,0.0,0.0,111526.875
44,13,6675.0,0.0,0.0,123828.81
45,0,599.0,11.0,148.0,26342.885
45,1,790.0,0.0,0.0,32530.836
45,2,1323.0,0.0,0.0,36743.133
45,3,3017.0,0.0,0.0,54575.3
